column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
EZO,4071,4071,23.77734375,False,False,0,False,169,True
EZP,4072,4072,17.21875,False,False,0,False,169,True
EZQ,4073,4073,15.0,False,False,0,False,169,True
EZR,4074,4074,18.77734375,False,True,0,False,169,True
EZS,4075,4075,15.21875,False,False,0,False,169,True
EZT,4076,4076,9.77734375,False,False,0,False,169,True
EZU,4077,4077,41.21875,False,False,0,False,169,True
EZV,4078,4078,41.44140625,False,False,0,False,169,True
EZW,4079,4080,22.44140625,False,False,0,False,169,True
EZY,4081,4081,30.44140625,False,False,0,False,169,True
EZZ,4082,4082,33.21875,False,False,0,False,169,True
FAA,4083,4083,21.21875,False,False,0,False,169,True
FAB,4084,4324,9.21875,False,False,0,False,169,True
FJI,4325,4325,2.77734375,False,False,0,False,169,True
FJJ,4326,4326,7.21875,False,False,0,False,169,True
FJK,4327,4327,23.77734375,False,False,0,False,169,True
FJL,4328,4328,17.21875,False,False,0,False,169,True
FJM,4329,4329,15.0,False,False,0,False,169,True
FJN,4330,4330,18.77734375,False,True,0,False,169,True
FJO,4331,4331,15.21875,False,False,0,False,169,True
FJP,4332,4332,9.77734375,False,False,0,False,169,True
FJQ,4333,4333,41.21875,False,False,0,False,169,True
FJR,4334,4334,41.44140625,False,False,0,False,169,True
FJS,4335,4336,22.44140625,False,False,0,False,169,True
FJU,4337,4337,30.44140625,False,False,0,False,169,True
FJV,4338,4338,33.21875,False,False,0,False,169,True
FJW,4339,4339,21.21875,False,False,0,False,169,True
FJX,4340,4580,9.21875,False,False,0,False,169,True
FTE,4581,4581,2.77734375,False,False,0,False,169,True
FTF,4582,4582,7.21875,False,False,0,False,169,True
FTG,4583,4583,23.77734375,False,False,0,False,169,True
FTH,4584,4584,17.21875,False,False,0,False,169,True
FTI,4585,4585,15.0,False,False,0,False,169,True
FTJ,4586,4586,18.77734375,False,True,0,False,169,True
FTK,4587,4587,15.21875,False,False,0,False,169,True
FTL,4588,4588,9.77734375,False,False,0,False,169,True
FTM,4589,4589,41.21875,False,False,0,False,169,True
FTN,4590,4590,41.44140625,False,False,0,False,169,True
FTO,4591,4592,22.44140625,False,False,0,False,169,True
FTQ,4593,4593,30.44140625,False,False,0,False,169,True
FTR,4594,4594,33.21875,False,False,0,False,169,True
FTS,4595,4595,21.21875,False,False,0,False,169,True
FTT,4596,4836,9.21875,False,False,0,False,169,True
GDA,4837,4837,2.77734375,False,False,0,False,169,True
GDB,4838,4838,7.21875,False,False,0,False,169,True
